okato,mrot,all_count,all_number_of_respondents,all_number_of_sources,all_salary,young_count,young_number_of_respondents,young_number_of_sources,young_salary,medium_count,medium_number_of_respondents,medium_number_of_sources,medium_salary,old_count,old_number_of_respondents,old_number_of_sources,old_salary,gndr
84,24052,99486,93335,122895,28117,28831,27828,36312,4,58226,53647,67396,27098,12429,11860,19187,1015,1
93,19242,159045,151897,172069,42276,56305,53656,65147,3,92884,88801,96251,41447,9856,9440,10671,826,1
95,30787,245777,202369,217325,86453,57637,49411,52573,16,150548,120262,128044,82689,37592,32696,36708,3748,1
1,21076,989539,887066,1020860,371813,203799,189386,216912,105,593766,520738,579428,355666,191974,176942,224520,16042,1
4,19242,1327400,1153485,1303888,565678,256868,240979,261519,96,867922,732893,804580,537903,202610,179613,237789,27679,1
25,19242,1088515,940047,1022170,428289,239688,213217,225055,74,684291,582742,629900,408367,164536,144088,167215,19848,1
32,27803,1189901,1105944,1213613,544071,231539,223243,232133,62,754643,692619,755571,518833,203719,190082,225909,25176,1
50,24058,1280452,1010454,1108086,464734,245744,207021,215914,66,821000,629768,682325,438709,213708,173665,209847,25959,1
52,22128,857031,763486,829710,355373,163598,157778,168505,27,545368,472986,507583,337913,148065,132722,153622,17433,1
69,19242,496851,391393,443470,173580,95956,84318,90591,23,321782,241476,270812,164065,79113,65599,82067,9492,1
81,28863,458832,425882,457919,169397,120246,113396,122328,28,278885,255325,269816,162623,59701,57161,65775,6746,1
98,48105,480955,410521,455652,182625,121997,106788,115536,35,309283,260888,286017,173549,49675,42845,54099,9041,1
78,19242,473869,413071,445641,179896,110934,100515,106812,37,297873,255570,272437,172779,65062,56986,66392,7080,1
30,50029,142373,125795,142130,67494,28932,25733,27607,15,95111,83530,92512,62671,18330,16532,22011,4808,1
5,28863,864725,649149,708850,326934,145643,117614,122573,68,576846,420755,452963,304957,142236,110780,133314,21909,1
8,44257,609253,490640,527411,250020,114440,103069,106765,54,403638,316267,337879,234930,91175,71304,82767,15036,1
10,30787,362956,345051,370320,175030,70428,69676,72979,27,239274,224724,238403,166930,53254,50651,58938,8073,1
44,48105,66141,62254,69685,37271,11881,11034,11306,12,45707,43003,47548,34393,8553,8217,10831,2866,1
64,30787,222805,209996,231232,117610,38321,36998,38127,35,147268,137954,150326,107868,37216,35044,42779,9707,1
99,19242,70604,65570,70376,32978,14639,14190,14831,14,45466,41566,44103,31237,10499,9814,11442,1727,1
77,19242,23608,23463,27380,13553,5413,5397,6045,2,16138,16011,18361,12588,2057,2055,2974,963,1
